,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons,Error
433,Being AP,2015,N/A,23 Nov 2015,103 min,"Documentary, Sport",Anthony Wonke,N/A,Tony McCoy,"'Being AP' premiered at Toronto Film Festival 2015, and documents one of Northern Ireland's greatest ever sportsmen during his last racing season. The story of AP's final season is a ...",English,UK,1 nomination.,https://m.media-amazon.com/images/M/MV5BNzIyODc1ZDMtMjBkNC00NDQxLTkyYjktYjdmNTQwMmQ0YzU2XkEyXkFqcGdeQXVyMjQ5ODI1NzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,6.5,260,tt3916100,movie,N/A,N/A,N/A,N/A,True,,
434,Minor Details,2009,PG,05 Feb 2009,86 min,"Adventure, Family, Mystery",John Lyde,"Sally Meyer, Anne M. Edwards, Kenneth Agle (idea), Coppelia Agle (original idea)","Kelsey Edwards, Caitlin E.J. Meyer, Danielle C. Ryan, Lauren Faber",A mystery's brewing at a boarding school high school and four best friends try to find out who it is.,English,USA,3 nominations.,https://m.media-amazon.com/images/M/MV5BOTU4NTY1NDgwMV5BMl5BanBnXkFtZTcwMDI5MjM5Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}]",N/A,4.5,771,tt1230126,movie,13 Oct 2009,N/A,Bota Productions,N/A,True,,
435,The A-Team,2010,PG-13,11 Jun 2010,117 min,"Action, Adventure, Thriller",Joe Carnahan,"Joe Carnahan, Brian Bloom, Skip Woods, Frank Lupo (television series ""The A-Team""), Stephen J. Cannell (television series ""The A-Team"")","Liam Neeson, Bradley Cooper, Jessica Biel, Quinton 'Rampage' Jackson","A group of Iraq War veterans look to clear their name with the U.S. Military, who suspect the four men of committing a crime for which they were framed.","English, Spanish, French, Swahili, German","USA, UK",2 wins & 4 nominations.,https://m.media-amazon.com/images/M/MV5BMTc4ODc4NTQ1N15BMl5BanBnXkFtZTcwNDUxODUyMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47,6.7,"240,231",tt0429493,movie,14 Dec 2010,"$77,213,489",20th Century Fox,N/A,True,,
436,T-Rex,2015,Unrated,24 Jun 2016,91 min,"Documentary, Action, Sport","Zackary Canepari, Drea Cooper",N/A,N/A,"17-year-old Claressa 'T-Rex' Shields from Flint, Michigan dreams of being the first woman in history to win a gold medal in Olympic boxing. But in order for her to succeed, she'll need to stand her ground both inside and outside the ring.",English,"UK, China, Canada, USA",4 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMTU1MjMwMDQwMV5BMl5BanBnXkFtZTgwODkyMzcwOTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,7.3,222,tt4151212,movie,N/A,N/A,ITVS Productions,N/A,True,,
437,Ever After High,2013–2016,N/A,30 May 2013,N/A,Animation,N/A,N/A,"Stephanie Sheh, Valerie Arem, Todd Haberkorn, Jamieson Price","The students of all the fairytale characters attend Ever After High, where they are either Royals (students who want to follow in their parent's footsteps) or Rebels (students who wish to write their own destiny).",English,Canada,N/A,https://m.media-amazon.com/images/M/MV5BY2FkYTczN2QtOWFiNy00M2E3LWIxYjgtZTdkMzc1NjhmMGM0XkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,551,tt3312378,series,,,,,True,4,
438,David Cross: Making America Great Again,2016,N/A,05 Aug 2016,74 min,Comedy,Alex Coletti,David Cross,David Cross,"Actor/comedian David Cross skewers Donald Trump, takes shots at religious taboos and American swagger in a hilarious yet provocative night of comedy at the Paramount Theatre in Austin, TX.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZDc2YTVhYTEtZGM4Yi00N2U5LThmZTktMjQwNGY4OWM5NDQ3XkEyXkFqcGdeQXVyMjUzNTU5NjY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}]",N/A,6.5,"1,449",tt5943936,movie,05 Aug 2016,N/A,N/A,N/A,True,,
439,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
440,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
441,Apex: The Story of the Hypercar,2016,Unrated,29 Mar 2016,85 min,Documentary,"J.F. Musial, Josh Vietze",Mike Spinelli,"Manuel Berglung, Chris Goodwin, Dan Greenawalt, Chris Harris","""APEX: The Story of the Hypercar"" spotlights a new class of exotic sports cars designed to blast from zero to 200 miles per hour in seconds. Rocket science meets the auto industry as ""APEX""...","German, French, Swedish, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BYWI1NGMxYjEtOWQ5My00NWY2LTlmMDEtZTBkNjYzZjZlYzI4XkEyXkFqcGdeQXVyNDI4ODczMDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,"1,441",tt4325400,movie,N/A,N/A,N/A,N/A,True,,
442,Full Out,2015,TV-PG,11 Sep 2015,90 min,"Biography, Drama, Family, Sport",Sean Cisterna,"Beth Iley (story editor), Willem Wennekers","Ana Golja, Jennifer Beals, Sarah Fisher, Asha Bromfield",A young gymnast's Olympic aspirations are crushed after a debilitating accident.,English,"Canada, USA",N/A,https://m.media-amazon.com/images/M/MV5BZTkxOWU4YmYtMWI5My00ZmE4LWI4MjctYmY1NWU4YTU5YzhmXkEyXkFqcGdeQXVyMjEyMDYzNjc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,"1,836",tt3977462,movie,03 May 2016,N/A,Carmel Creek Productions,N/A,True,,
443,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
444,Holding the Man,2015,Unrated,27 Aug 2015,127 min,"Biography, Drama, Romance",Neil Armfield,"Tommy Murphy (screenplay), Timothy Conigrave (book)","Ryan Corr, Sarah Snook, Francesco Ferdinandi, Craig Matthew Stott","Tim and John fell in love while teenagers at their all-boys high school. John was captain of the rugby team, Tim an aspiring actor playing a minor part in Romeo and Juliet. Their romance ...",English,Australia,6 wins & 19 nominations.,https://m.media-amazon.com/images/M/MV5BMTAyNTUyNDM3NzZeQTJeQWpwZ15BbWU4MDkzMDAyNDYx._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}]",N/A,7.4,"9,589",tt3671542,movie,02 Aug 2016,N/A,N/A,N/A,True,,
445,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
446,Tallulah,2016,N/A,29 Jul 2016,111 min,"Comedy, Drama, Romance",Sian Heder,Sian Heder,"Ellen Page, Allison Janney, Tammy Blanchard, Evan Jonigkeit","Desperate to be rid of her toddler, a dissatisfied Manhattan housewife hires a stranger to babysit and ends up getting much more than she bargained for.",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BNTIyYWFkNjctNTMyNy00YWI0LWJkYzYtYjFlMzQwZTg0ZWExXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",63,6.7,"16,264",tt1639084,movie,29 Jul 2016,N/A,Netflix,N/A,True,,
447,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
448,John Wick: The Assassin's Code,2015,N/A,03 Feb 2015,N/A,"Documentary, Short",Josh Oreck,N/A,N/A,N/A,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BOWE5NzU2MGEtM2JiMi00MDU5LWIwOTEtYTA4YzFkMzRiN2YxXkEyXkFqcGdeQXVyODA1NjQ0OTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",N/A,8.4,"3,690",tt5278698,movie,N/A,N/A,N/A,N/A,True,,
449,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
450,Internet Famous,2016,N/A,21 Jun 2016,87 min,Comedy,Michael J. Gallagher,"Michael J. Gallagher (screenplay), Steve Greene (screenplay)","Shane Dawson, Steve Greene, Wendy McColm, Amanda Cerny",The Internet has given them fame. A talent contest could make one of them a superstar. If only they had any talent.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BYzRlMTZmZWYtNzM2MC00MmRlLThkNTAtYTFmMjAxOTBhMWQxXkEyXkFqcGdeQXVyMjIxMDUzMTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.5/10'}]",N/A,3.5,"1,030",tt5291862,movie,N/A,N/A,Cinemand,N/A,True,,
451,The Hunger Games: Catching Fire,2013,PG-13,22 Nov 2013,146 min,"Action, Adventure, Sci-Fi, Thriller",Francis Lawrence,"Simon Beaufoy (screenplay), Michael Arndt (screenplay), Suzanne Collins (novel)","Jennifer Lawrence, Liam Hemsworth, Jack Quaid, Taylor St. Clair",Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.,English,USA,Nominated for 1 Golden Globe. Another 22 wins & 67 nominations.,https://m.media-amazon.com/images/M/MV5BMTAyMjQ3OTAxMzNeQTJeQWpwZ15BbWU4MDU0NzA1MzAx._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76,7.5,"591,247",tt1951264,movie,07 Mar 2014,"$336,663,349",Lionsgate Films,N/A,True,,
452,"Lusers, los amigos no se eligen",2015,N/A,01 Oct 2015,95 min,"Adventure, Comedy",Ticoy Rodriguez,Fernando Castets,"Carlos Alcántara, Pablo Granados, Felipe Izquierdo, Gaby Espino","Three guys from differents countries (Peru, Argentina and Chile) come together in a funny adventure through the jungle in order to get to the Final of the FIFA World Cup Brasil 2014.",Spanish,"Argentina, Chile, Peru",N/A,https://m.media-amazon.com/images/M/MV5BZGE4YzNlYzUtMWI4MC00NDg3LWI3ZTktY2UyZGRiNzE3ZTY0XkEyXkFqcGdeQXVyMTcxNTYyMjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",N/A,4.8,285,tt4778602,movie,N/A,N/A,N/A,N/A,True,,
453,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
454,Holidays,2016,Not Rated,15 Apr 2016,105 min,"Fantasy, Horror, Mystery","Anthony Scott Burns, Kevin Kölsch, Nicholas McCarthy, Adam Egypt Mortimer, Gary Shore, Kevin Smith, Sarah Adina Smith, Scott Stewart, Dennis Widmyer","Anthony Scott Burns (segment), Kevin Kölsch (segment), Kevin Kölsch (segment), Nicholas McCarthy (segment), Gary Shore (segment), Kevin Smith (segment), Sarah Adina Smith (segment), Scott Stewart (segment), Dennis Widmyer (segment), Dennis Widmyer (segment)","Madeleine Coghlan, Savannah Kennick, Rick Peters, Kate Rachesky","HOLIDAYS is an anthology feature film that puts a uniquely dark and original spin on some of the most iconic and beloved holidays of all time by challenging our folklore, traditions and assumptions.",English,USA,3 nominations.,https://m.media-amazon.com/images/M/MV5BZTIyY2QwZTEtOGNlNC00ZjViLTk3YzAtZDc4MmRkZjY1YzFiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",50,5.1,"9,519",tt4419364,movie,05 Jul 2016,N/A,Distant Corners Entertainment Group,N/A,True,,
455,Rebirth,2016,TV-MA,15 Jul 2016,100 min,Thriller,Karl Mueller,Karl Mueller,"Fran Kranz, Adam Goldberg, Nicky Whelan, Kat Foster",He's a family man headed for a weekend of self-discovery. But it's about to turn into a nightmare with no escape.,"English, French",USA,N/A,https://m.media-amazon.com/images/M/MV5BNzZlYWU3ZTktMWUzMi00ZWFjLThhZTMtNGNjYTRiMDQxYmU2XkEyXkFqcGdeQXVyNTc5NDE0MDA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}]",N/A,5.0,"3,772",tt4902716,movie,N/A,N/A,Netflix,N/A,True,,
456,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
457,Gridlocked,2015,R,14 Jun 2016,110 min,Action,Allan Ungar,"Rob Robol, Allan Ungar","Dominic Purcell, Cody Hackman, Stephen Lang, Trish Stratus",Former SWAT leader David Hendrix and hard-partying movie star Brody Walker must cut their ride-along short when a police training facility is attacked by a team of mercenaries.,English,Canada,2 wins.,https://m.media-amazon.com/images/M/MV5BMTc4MDMxNjQ0Ml5BMl5BanBnXkFtZTgwNTU2Nzk2ODE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,"3,651",tt2724532,movie,14 Jun 2016,N/A,N/A,N/A,True,,
458,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
459,The Invitation,2015,Not Rated,08 Apr 2016,100 min,"Drama, Horror, Mystery, Thriller",Karyn Kusama,"Phil Hay, Matt Manfredi","Logan Marshall-Green, Tammy Blanchard, Emayatzy Corinealdi, Aiden Lovekamp","A man accepts an invitation to a dinner party hosted by his ex-wife, an unsettling affair that reopens old wounds and creates new tensions.",English,USA,4 wins & 14 nominations.,https://m.media-amazon.com/images/M/MV5BMTkzODMwNDkzOF5BMl5BanBnXkFtZTgwNDA4NzA1ODE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74,6.6,"80,115",tt2400463,movie,08 Apr 2016,"$231,703",Drafthouse Films,N/A,True,,
460,Brahman Naman,2016,N/A,07 Jul 2016,95 min,Comedy,Qaushiq Mukherjee,Naman Ramachandran,"Shashank Arora, Tanmay Dhanania, Chaitanya Varad, Vaishwath Shankar",A champion college quizzing team try to win the all-India finals and lose their virginities.,English,"India, UK",2 nominations.,https://m.media-amazon.com/images/M/MV5BMDdlYWI3YWMtZmNhMC00NzZhLWI2ZWMtNjZmZDE2ZDYzMzRmXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58,5.6,"1,615",tt5240748,movie,07 Jul 2016,N/A,Netflix,N/A,True,,
461,Marco Polo,2014–2016,TV-MA,12 Dec 2014,60 min,"Adventure, Drama, History",N/A,John Fusco,"Lorenzo Richelmy, Benedict Wong, Joan Chen, Remy Hii","In a world replete with greed, betrayal, sexual intrigue and rivalry, ""Marco Polo"" is based on the famed explorer's adventures in Kublai Khan's court in 13th century Mongolia.",English,USA,Nominated for 1 Primetime Emmy. Another 3 wins & 5 nominations.,https://m.media-amazon.com/images/M/MV5BMjM5NTk1MTc4OF5BMl5BanBnXkFtZTgwNTE5ODIxOTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,"60,015",tt2189461,series,,,,,True,2,
462,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
463,Gilmore Girls,2000–2007,TV-PG,05 Oct 2000,44 min,"Comedy, Drama",N/A,Amy Sherman-Palladino,"Lauren Graham, Alexis Bledel, Keiko Agena, Scott Patterson","A dramedy centering around the relationship between a thirtysomething single mother and her teen daughter living in Stars Hollow, Connecticut.",English,USA,Nominated for 1 Golden Globe. Another 23 wins & 81 nominations.,https://m.media-amazon.com/images/M/MV5BMTQ3NDA1ZWYtYjBmMC00NmJjLWI1NjgtYjg2NDhmMTY2YWQ4XkEyXkFqcGdeQXVyNzA5NjUyNjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",N/A,8.1,"91,466",tt0238784,series,,,,,True,7,
464,Between,2015–2016,TV-14,21 May 2015,60 min,"Drama, Mystery, Sci-Fi, Thriller",N/A,Michael McGowan,"Jennette McCurdy, Jesse Carere, Justin Kelly, Kyle Mac","After a mysterious disease kills every resident over 22 years old, survivors of a town must fend for themselves when the government quarantines them",English,Canada,4 nominations.,https://m.media-amazon.com/images/M/MV5BNzUxNjJhYzUtZjUzYi00ZTIxLTg2MzItMjYxNjJkYmM2N2EzXkEyXkFqcGdeQXVyNTc2OTM3MTk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,"7,801",tt4132692,series,,,,,True,2,
465,Road to Yesterday,2015,N/A,27 Nov 2015,91 min,"Drama, Romance, Thriller",Ishaya Bako,"Genevieve Nnaji (based on a story by), Ishaya Bako (screenplay), Emil B. Garuba (screenplay), Genevieve Nnaji (story), Ishaya Bako, Emil B. Garuba","Genevieve Nnaji, Oris Erhuero, Chioma Omeruah, Baaj Adebule","An estranged couple try to fix their marriage on a road trip to a relative's funeral. However when memories and secrets from the past are revealed, a lot more is at stake than their relationship.",English,Nigeria,1 win & 4 nominations.,https://m.media-amazon.com/images/M/MV5BMTU3NzEyMzY4Nl5BMl5BanBnXkFtZTgwNjU1ODM5NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,179,tt4871120,movie,N/A,N/A,N/A,N/A,True,,
466,Deep,2016–,N/A,N/A,N/A,Action,N/A,N/A,Byron Gibson,"After the loss of her twin brother during free diving championships, a young woman decides to train to dive to avenge her brother's honor. Deep is a breathtaking plunge into the underwater world of free diving.",English,France,N/A,https://m.media-amazon.com/images/M/MV5BNTBjMDFlMTQtN2I5NS00NGRiLTk0MmItZDNiOTFlMDU4YmYxXkEyXkFqcGdeQXVyMjYyOTE2NjY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,10,tt5824350,series,,,,,True,N/A,
467,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
468,Mannenharten,2013,N/A,28 Nov 2013,97 min,Comedy,Mark de Cloe,"Maarten Lebens (adaptation), Simon Verhoeven (screenplay)","Katja Herbers, Barry Atsma, Hadewych Minis, Daan Schuurmans",Following the love lives of different types of men in Amsterdam.,Dutch,Netherlands,4 wins & 5 nominations.,https://m.media-amazon.com/images/M/MV5BMTg2OTYzMzA0Ml5BMl5BanBnXkFtZTgwODMyODYyMDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",N/A,5.7,"2,004",tt2513536,movie,N/A,N/A,NL Film,N/A,True,,
469,The Redeemed and the Dominant: Fittest on Earth,2016,Unrated,23 Feb 2016,104 min,"Documentary, Sport","Heber Cannon, Marston Sawyers, Ian Wittenber","Heber Cannon, Marston Sawyers, Ian Wittenber","Dan Bailey, Samantha Briggs, Dave Castro, Katrin Tanja Davidsdottir","The 2015 Reebok CrossFit Games were a 5 day, 13 event, grueling test to find the fittest male and female on earth. ""Fittest on Earth"" follows the dramatic story of the top athletes who ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BYjRlYjYxZGEtNDZhZS00NzFhLTkwMDctYTlmOTJjOGU1NDliXkEyXkFqcGdeQXVyNjMwMzkyNDM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,"1,433",tt5503594,movie,N/A,N/A,CrossFit,N/A,True,,
470,Suicide,2014,N/A,27 Aug 2015,113 min,"Action, Crime, Thriller",Benny Fredman,Benny Fredman,"Erez Ben-Ezra, Rotem Keinan, Dror Keren, Mali Levi","This action thriller follows a young, successful lawyer, that in a course of a one day has to commit the perfect crime in order to save her family from a psychotic loan-shark",Hebrew,Israel,N/A,https://m.media-amazon.com/images/M/MV5BMjU2Mzg5NjYzMV5BMl5BanBnXkFtZTgwOTI5MzU2MzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,152,tt3714804,movie,N/A,N/A,N/A,N/A,True,,
471,The Code,2011,N/A,28 Sep 2011,6 min,"Short, Comedy, Horror",Mark Blitch,"Alan Tregoning, Jason Walter Vaile","Daylon Walton, Tamara Voss, Taylor James Brandt, Todd Terry",N/A,English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BMjE5MjgxMzQ0NV5BMl5BanBnXkFtZTcwNDQ4MTMyNw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,24,tt2059297,movie,N/A,N/A,N/A,N/A,True,,
472,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
473,The Fundamentals of Caring,2016,TV-MA,24 Jun 2016,97 min,"Comedy, Drama",Rob Burnett,"Rob Burnett (screenplay), Jonathan Evison (novel)","Alex Huff, Donna Biscoe, Paul Rudd, Julia Denton",A man suffering a family loss enrolls in a class about care-giving that changes his perspective on life.,English,USA,3 nominations.,https://m.media-amazon.com/images/M/MV5BMTA1Mjc4ODI0NzReQTJeQWpwZ15BbWU4MDQ3MzAwMjkx._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,7.3,"52,343",tt2452386,movie,24 Jun 2016,N/A,Netflix,N/A,True,,
474,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
475,Ip Man 3,2015,PG-13,24 Dec 2015,105 min,"Action, Biography, Drama, History",Wilson Yip,"Tai-lee Chan, Lai-Yin Leung, Edmond Wong","Donnie Yen, Lynn Xiong, Jin Zhang, Mike Tyson","When a band of brutal gangsters led by a crooked property developer make a play to take over a local school, Master Ip is forced to take a stand.","Cantonese, English","China, Hong Kong",5 wins & 21 nominations.,https://m.media-amazon.com/images/M/MV5BNGVjZTQ2ZDktNWU0OC00ZWE4LTg1OTQtYzFhMGY5ZmEwNzc0XkEyXkFqcGdeQXVyNzgzODI1OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,7.1,"42,999",tt2888046,movie,N/A,N/A,N/A,N/A,True,,
476,The Chosen Ones,2015,Unrated,20 Jan 2016,105 min,Drama,David Pablos,David Pablos,"Nancy Talamantes, Óscar Torres, Leidi Gutiérrez, José Santillán Cabuto","Young Ulises falls in love with teen Sofia, even as he is forced to lure her into his family's prostitution ring. Now he will do anything to save her.",Spanish,"Mexico, France",7 wins & 14 nominations.,https://m.media-amazon.com/images/M/MV5BYTFlZWZhMjktNjkzZi00M2VjLTliZmQtZjFhZmExZWNiNjc2XkEyXkFqcGdeQXVyNjYzMDA4MTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,"1,583",tt4636042,movie,N/A,N/A,N/A,N/A,True,,
477,Lego Friends: The Power of Friendship,2016,TV-Y7,04 Mar 2016,23 min,Animation,N/A,N/A,"Rachelle Heger, Alexa Kahn, Erica Mendez, Marianne Miller","Five best friends face adventures side by side in their hometown. Zany antics, love and missteps are better with friends.","Danish, English, Mandarin, German, Spanish, French",Denmark,N/A,https://m.media-amazon.com/images/M/MV5BMTA2YmRmMDMtZGE5MS00MGQ5LWIxMTMtY2JiZTBhODIyNjcwXkEyXkFqcGdeQXVyNDA3MzI1ODQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",N/A,5.7,14,tt6464612,series,,,,,True,N/A,
478,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
479,Confessions of a Brazilian Call Girl,2011,TV-MA,25 Feb 2011,131 min,"Biography, Drama",Marcus Baldini,"José Carvalho (screenwriter), Homero Olivetto (screenwriter), Antônia Pellegrino (screenwriter), Raquel Pacheco (book), Jorge Tarquini (book)","Deborah Secco, Cássio Gabus Mendes, Drica Moraes, Fabiula Nascimento","After the adoptive daughter of a stable family leaves them for a new life as a prostitute, she rises to become a popular performer among her clients, and details her routine in her blog.",Portuguese,Brazil,7 wins & 22 nominations.,https://m.media-amazon.com/images/M/MV5BMWQ0NTk3MDItZDYxMS00NjY5LTlkOTYtM2I0N2U4MTRmYmU4XkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,"6,468",tt1587828,movie,N/A,N/A,TV Zero,N/A,True,,
480,Bo Burnham: Make Happy,2016,TV-MA,03 Jun 2016,60 min,"Comedy, Music","Bo Burnham, Christopher Storer","Bo Burnham (comedy), Bo Burnham",Bo Burnham,"Bo Burnham tackles life, death, sexuality, hypocrisy, mental illness and Pringles cans in his dazzling new stand-up special.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZjg0YmNiZTAtZDI2Yi00MTVhLTk3ZTctM2JiNjQwY2ZhMzg4XkEyXkFqcGdeQXVyMzE1NjI3MjI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,8.4,"7,493",tt5192124,movie,03 Jun 2016,N/A,Netflix,N/A,True,,
481,Hibana,2016–,N/A,02 Jun 2016,60 min,Drama,N/A,N/A,"Kento Hayashi, Kazuki Namioka, Masao Yoshii, Nahana",A young comedian in Tokyo tries to make it big with his partner in their duo bit of Manzai (a type of Japanese Abbot and Costello comedy) along the way he meets an older comedian who drives...,Japanese,Japan,1 nomination.,https://m.media-amazon.com/images/M/MV5BODFlYzk2YWEtYWUxOC00NGQwLWE0NDEtMDdmYTU0ZGIxZmQ2XkEyXkFqcGdeQXVyMjI1ODY4OTk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",N/A,8.1,421,tt5301958,series,,,,,True,1,
482,The Beginning of Life,2016,G,05 May 2016,120 min,"Documentary, Family",Estela Renner,Estela Renner,Laura Schichvarger,"Discoveries in neuroscience can help us understand childhood development. When a person is born, it is more than just a genetic load. We are formed by our relationship with everything ...",English,Brazil,1 nomination.,https://m.media-amazon.com/images/M/MV5BZjZiY2UzMDAtZmZiMi00YTM4LThhY2ItYjAwNmUyYWZhZmFjXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,766,tt5140248,movie,N/A,N/A,N/A,N/A,True,,
